Outage ID,Platts Outage ID,ECPTA ID,Name,Country,Planning Status,Unit,start_date,end_date,Volume,Edited
12096,12096,42,Burgas Refinery,Bulgaria,Unplanned,HCU,2024-12-01,2024-12-31,39,No
12097,12097,42,Burgas Refinery,Bulgaria,Unplanned,Reformer,2024-12-01,2024-12-31,14.45,No
12083,12083,198,Basrah Refinery,Iraq,Unplanned,CDU,2024-11-30,2024-12-15,70,No
12074,12074,266,Gunvor Europoort Refinery,Netherlands,Unplanned,Reformer,2024-11-25,2024-12-15,22.97,No
12075,12075,379,Izmir Refinery,Turkey,Unplanned,CDU,2024-11-24,2025-02-15,150,No
12128,12128,501,Paraguana Refinery,Venezuela,Unplanned,Reformer,2024-11-24,2025-01-05,20,No
12086,12086,220,Cosmo Oil Chiba Refinery,Japan,Unplanned,CDU,2024-11-24,2024-12-05,75,No
12091,12091,270,Vlissingen Refinery,Netherlands,Planned,CDU,2024-11-22,2024-12-31,147,No
12092,12092,270,Vlissingen Refinery,Netherlands,Planned,HCU,2024-11-22,2024-12-31,74.06,No
12093,12093,270,Vlissingen Refinery,Netherlands,Planned,Reformer,2024-11-22,2024-12-31,26.98,No
12070,12070,424,Citgo Corpus Christi Refinery,United States,Planned,FCU,2024-11-19,2024-11-30,62.3,No
11499,11499,170,IOCL Koyali Refinery,India,Planned,HCU,2024-11-15,2024-12-30,28.3,No
12082,12082,198,Basrah Refinery,Iraq,Planned,CDU,2024-11-10,2024-12-31,70,No
12077,12077,369,Ta-Lin Refinery,Taiwan,Planned,CDU,2024-11-05,2025-01-31,100,No
12078,12078,370,Tao-Yuan Refinery,Taiwan,Planned,CDU,2024-11-04,2025-01-17,75,No
12085,12085,480,Wynnewood Refinery,United States,Planned,FCU,2024-11-04,2024-11-30,18.5,No
12059,12059,501,Paraguana Refinery,Venezuela,Unplanned,Reformer,2024-11-04,2024-11-24,40.5,No
11442,11442,369,Ta-Lin Refinery,Taiwan,Planned,FCU,2024-11-01,2025-02-28,25,No
11999,11999,549,YASREF Yanbu Refinery,Saudi Arabia,Planned,CDU,2024-11-01,2025-01-05,400,No
12000,12000,549,YASREF Yanbu Refinery,Saudi Arabia,Planned,Coker,2024-11-01,2025-01-05,103,No
12001,12001,549,YASREF Yanbu Refinery,Saudi Arabia,Planned,HCU,2024-11-01,2025-01-05,112,No
12002,12002,549,YASREF Yanbu Refinery,Saudi Arabia,Planned,Reformer,2024-11-01,2025-01-05,90,No
12067,12067,453,Three Rivers Refinery,United States,Planned,CDU,2024-11-01,2024-12-13,85.96,No
12068,12068,453,Three Rivers Refinery,United States,Planned,HCU,2024-11-01,2024-12-13,30,No
12069,12069,453,Three Rivers Refinery,United States,Planned,Reformer,2024-11-01,2024-12-13,34,No
12044,12044,213,San Nazzaro Refinery,Italy,Planned,FCU,2024-11-01,2024-12-05,33.95,No
12035,12035,14,Lytton Refinery,Australia,Planned,FCU,2024-11-01,2024-12-02,36.15,No
11697,11697,476,Sinclair Refinery,United States,Planned,Coker,2024-11-01,2024-11-15,20,No
12054,12054,556,Karbala Refinery,Iraq,Planned,CDU,2024-10-31,2024-11-14,70,No
12061,12061,579,Chemchina Huaxing Refinery,China,Planned,CDU,2024-10-24,2024-12-25,140,No
12062,12062,579,Chemchina Huaxing Refinery,China,Planned,Coker,2024-10-24,2024-12-25,24,No
12063,12063,579,Chemchina Huaxing Refinery,China,Planned,FCU,2024-10-24,2024-12-25,55,No
12052,12052,582,Sinochem Quanzhou Petrochemical,China,Unplanned,FCU,2024-10-22,2024-11-22,56,No
12053,12053,582,Sinochem Quanzhou Petrochemical,China,Unplanned,CDU,2024-10-22,2024-11-22,60,No
11224,11224,101,Sinopec Wuhan Refinery,China,Planned,CDU,2024-10-17,2024-12-17,161,No
11230,11230,101,Sinopec Wuhan Refinery,China,Planned,Coker,2024-10-17,2024-12-17,37.3,No
11231,11231,101,Sinopec Wuhan Refinery,China,Planned,FCU,2024-10-17,2024-12-17,32.87,No
11232,11232,101,Sinopec Wuhan Refinery,China,Planned,HCU,2024-10-17,2024-12-17,35,No
11233,11233,101,Sinopec Wuhan Refinery,China,Planned,Reformer,2024-10-17,2024-12-17,7,No
11119,11119,451,Krotz Springs Refinery,United States,Planned,CDU,2024-10-15,2024-12-01,80.01,No
11120,11120,451,Krotz Springs Refinery,United States,Planned,FCU,2024-10-15,2024-12-01,33,No
11320,11320,490,Martinez Refinery,United States,Planned,HCU,2024-10-15,2024-11-15,37,No
11420,11420,595,CNOOC Ningbo Daxie Liwan Petrochemicals,China,Planned,CDU,2024-10-10,2024-12-10,160,No
11421,11421,595,CNOOC Ningbo Daxie Liwan Petrochemicals,China,Planned,Coker,2024-10-10,2024-12-10,48,No
11422,11422,595,CNOOC Ningbo Daxie Liwan Petrochemicals,China,Planned,FCU,2024-10-10,2024-12-10,35.01,No
11423,11423,595,CNOOC Ningbo Daxie Liwan Petrochemicals,China,Planned,Reformer,2024-10-10,2024-12-10,48.99,No
12011,12011,281,Multan Refinery,Pakistan,Planned,CDU,2024-10-10,2024-11-19,114,No
12012,12012,281,Multan Refinery,Pakistan,Planned,HCU,2024-10-10,2024-11-19,20,No
12013,12013,281,Multan Refinery,Pakistan,Planned,Reformer,2024-10-10,2024-11-19,14.7,No
12020,12020,427,Deer Park Refinery,United States,Unplanned,Coker,2024-10-10,2024-10-11,81,No
12018,12018,254,Petron Port Dickson Refinery,Malaysia,Unplanned,CDU,2024-10-09,2024-11-24,88,No
12019,12019,254,Petron Port Dickson Refinery,Malaysia,Unplanned,Reformer,2024-10-09,2024-11-24,19,No
12038,12038,126,La Libertad Refinery,Ecuador,Planned,CDU,2024-10-09,2024-10-15,26,No
11225,11225,71,Fujian Refining & Petrochemical,China,Planned,CDU,2024-10-08,2024-12-15,280,No
11226,11226,71,Fujian Refining & Petrochemical,China,Planned,Coker,2024-10-08,2024-12-15,9,No
11227,11227,71,Fujian Refining & Petrochemical,China,Planned,FCU,2024-10-08,2024-12-15,38.03,No
11228,11228,71,Fujian Refining & Petrochemical,China,Planned,HCU,2024-10-08,2024-12-15,46,No
11229,11229,71,Fujian Refining & Petrochemical,China,Planned,Reformer,2024-10-08,2024-12-15,41.99,No
12009,12009,671,Pengerang - RAPID Refinery,Malaysia,Unplanned,FCU,2024-10-08,2024-12-13,126,No
11978,11978,66,PetroChina Dalian Petrochemical,China,Planned,CDU,2024-10-08,2024-10-30,90,No
12060,12060,229,Mizushima (2) Refinery,Japan,Unplanned,CDU,2024-10-07,2024-12-01,95.2,No
11991,11991,250,Mazeikiai Refinery,Lithuania,Planned,CDU,2024-10-07,2024-11-03,207,No
11992,11992,250,Mazeikiai Refinery,Lithuania,Planned,FCU,2024-10-07,2024-11-03,43.2,No
11993,11993,250,Mazeikiai Refinery,Lithuania,Unknown,Reformer,2024-10-07,2024-11-03,40.1,No
12014,12014,51,Montreal Refinery,Canada,Planned,CDU,2024-10-07,2024-10-21,137,No
12015,12015,51,Montreal Refinery,Canada,Planned,FCU,2024-10-07,2024-10-21,59.08,No
12016,12016,51,Montreal Refinery,Canada,Planned,HCU,2024-10-07,2024-10-21,23.11,No
12017,12017,51,Montreal Refinery,Canada,Planned,Reformer,2024-10-07,2024-10-21,30.2,No
12055,12055,174,IOCL Mathura Refinery,India,Planned,CDU,2024-10-04,2024-11-13,160,No
12056,12056,174,IOCL Mathura Refinery,India,Planned,FCU,2024-10-04,2024-11-13,32,No
12057,12057,174,IOCL Mathura Refinery,India,Planned,HCU,2024-10-04,2024-11-13,77.06,No
12058,12058,174,IOCL Mathura Refinery,India,Planned,Reformer,2024-10-04,2024-11-13,10.03,No
11997,11997,486,Carson Refinery,United States,Planned,FCU,2024-10-03,2024-10-10,97.32,No
11989,11989,501,Paraguana Refinery,Venezuela,Unplanned,CDU,2024-10-01,2025-01-31,85,No
11990,11990,501,Paraguana Refinery,Venezuela,Unplanned,CDU,2024-10-01,2024-12-15,105,No
11994,11994,269,NNPC Pernis Refinery,Netherlands,Planned,CDU,2024-10-01,2024-12-03,207,No
10872,10872,145,Leuna Refinery,Germany,Planned,CDU,2024-10-01,2024-11-30,229,No
10873,10873,145,Leuna Refinery,Germany,Planned,FCU,2024-10-01,2024-11-30,55.02,No
10874,10874,145,Leuna Refinery,Germany,Planned,Reformer,2024-10-01,2024-11-30,22,No
11973,11973,423,Chalmette Refinery,United States,Planned,FCU,2024-10-01,2024-11-20,71.99,No
12021,12021,214,Sarroch Refinery,Italy,Planned,CDU,2024-10-01,2024-11-15,100,No
12050,12050,52,Nanticoke Refinery,Canada,Planned,CDU,2024-10-01,2024-11-15,112,No
12051,12051,52,Nanticoke Refinery,Canada,Planned,FCU,2024-10-01,2024-11-15,47.5,No
12031,12031,309,Tuapse Refinery,Russia,Planned,Coker,2024-10-01,2024-11-10,52,No
12032,12032,309,Tuapse Refinery,Russia,Planned,HCU,2024-10-01,2024-11-10,80,No
12033,12033,309,Tuapse Refinery,Russia,Planned,Reformer,2024-10-01,2024-11-10,30,No
12034,12034,309,Tuapse Refinery,Russia,Planned,CDU,2024-10-01,2024-11-10,240,No
11121,11121,451,Krotz Springs Refinery,United States,Planned,Reformer,2024-10-01,2024-11-01,12,No
11874,11874,317,Khabarovsk Refinery,Russia,Planned,CDU,2024-10-01,2024-10-31,100,No
11954,11954,242,Atyrau Refinery,Kazakhstan,Planned,CDU,2024-10-01,2024-10-26,110,No
11955,11955,242,Atyrau Refinery,Kazakhstan,Planned,FCU,2024-10-01,2024-10-26,46,No
11926,11926,24,Novopolotsk Refinery,Belarus,Planned,HCU,2024-10-01,2024-10-24,24,No
11956,11956,242,Atyrau Refinery,Kazakhstan,Planned,Coker,2024-10-01,2024-10-23,13.72,No
11957,11957,242,Atyrau Refinery,Kazakhstan,Planned,Reformer,2024-10-01,2024-10-23,35.3,No
11506,11506,163,IOCL Barauni Refinery,India,Planned,HCU,2024-10-01,2024-10-14,19.4,No
12010,12010,181,Balikpapan Refinery,Indonesia,Unplanned,HCU,2024-09-30,2024-11-15,55,No
11680,11680,237,Cosmo Oil Yokkaichi Refinery,Japan,Planned,CDU,2024-09-29,2024-11-08,82,No
12004,12004,428,El Paso Refinery,United States,Unplanned,Reformer,2024-09-29,2024-09-30,24.5,No
12066,12066,428,El Paso Refinery,United States,Unplanned,CDU,2024-09-29,2024-09-30,135,No
11998,11998,421,Big Springs Refinery,United States,Planned,FCU,2024-09-28,2024-10-07,22.99,No
12046,12046,322,Salavat Refinery,Russia,Planned,CDU,2024-09-27,2024-10-31,83,No
12047,12047,322,Salavat Refinery,Russia,Planned,Reformer,2024-09-27,2024-10-31,31.3,No
11981,11981,368,Mailiao Refinery,Taiwan,Unplanned,FCU,2024-09-25,2024-10-18,76,No
11984,11984,407,Lemont Refinery,United States,Unplanned,CDU,2024-09-25,2024-09-26,178.95,No
11985,11985,407,Lemont Refinery,United States,Unplanned,Coker,2024-09-25,2024-09-26,36.01,No
11986,11986,407,Lemont Refinery,United States,Unplanned,FCU,2024-09-25,2024-09-26,60.3,No
11987,11987,407,Lemont Refinery,United States,Unplanned,Reformer,2024-09-25,2024-09-26,28.13,No
12036,12036,386,Fawley Refinery,United Kingdom,Planned,CDU,2024-09-24,2024-11-22,196,No
12037,12037,386,Fawley Refinery,United Kingdom,Planned,FCU,2024-09-24,2024-11-22,89.01,No
11979,11979,248,Az Zawiyah Refinery,Libya,Unplanned,CDU,2024-09-24,2024-10-12,110,No
11980,11980,248,Az Zawiyah Refinery,Libya,Unplanned,Reformer,2024-09-24,2024-10-12,13.4,No
10687,10687,416,Whiting Refinery,United States,Planned,CDU,2024-09-23,2024-11-20,255,No
10688,10688,416,Whiting Refinery,United States,Planned,Coker,2024-09-23,2024-11-20,95,No
11419,11419,166,BPCL Kochi Refinery,India,Planned,CDU,2024-09-20,2024-11-01,90,No
11493,11493,166,BPCL Kochi Refinery,India,Planned,Reformer,2024-09-20,2024-11-01,35,No
11846,11846,166,BPCL Kochi Refinery,India,Planned,FCU,2024-09-20,2024-11-01,77.09,No
12003,12003,406,Joliet Refinery,United States,Unplanned,FCU,2024-09-20,2024-10-01,93,No
11968,11968,501,Paraguana Refinery,Venezuela,Unplanned,FCU,2024-09-19,2025-01-31,47,No
11966,11966,501,Paraguana Refinery,Venezuela,Unplanned,CDU,2024-09-19,2024-09-30,120,No
11967,11967,501,Paraguana Refinery,Venezuela,Unplanned,CDU,2024-09-19,2024-09-30,20,No
11969,11969,501,Paraguana Refinery,Venezuela,Unplanned,CDU,2024-09-19,2024-09-30,55,No
11745,11745,465,El Dorado (KS) Refinery,United States,Planned,FCU,2024-09-18,2024-11-14,45.26,No
12006,12006,157,Corinth Refinery,Greece,Unplanned,CDU,2024-09-17,2025-08-15,100,No
12022,12022,724,Liaoning Huajin Chemical Industry Yingkou Refinery,China,Planned,CDU,2024-09-17,2024-10-05,120,No
12023,12023,724,Liaoning Huajin Chemical Industry Yingkou Refinery,China,Planned,Coker,2024-09-17,2024-10-05,18,No
12024,12024,724,Liaoning Huajin Chemical Industry Yingkou Refinery,China,Planned,FCU,2024-09-17,2024-10-05,18,No
12025,12025,724,Liaoning Huajin Chemical Industry Yingkou Refinery,China,Planned,HCU,2024-09-17,2024-10-05,22,No
12026,12026,724,Liaoning Huajin Chemical Industry Yingkou Refinery,China,Planned,Reformer,2024-09-17,2024-10-05,32,No
11949,11949,436,Norco Refinery,United States,Planned,HCU,2024-09-16,2024-10-28,44,No
11101,11101,368,Mailiao Refinery,Taiwan,Planned,FCU,2024-09-15,2024-11-24,76,No
11962,11962,556,Karbala Refinery,Iraq,Unplanned,CDU,2024-09-15,2024-10-30,140,No
11963,11963,556,Karbala Refinery,Iraq,Unplanned,FCU,2024-09-15,2024-10-30,30,No
11964,11964,556,Karbala Refinery,Iraq,Unplanned,Reformer,2024-09-15,2024-10-30,25,No
11909,11909,389,Pembroke Refinery,United Kingdom,Planned,CDU,2024-09-15,2024-10-28,210,No
11910,11910,389,Pembroke Refinery,United Kingdom,Planned,FCU,2024-09-15,2024-10-28,90,No
11911,11911,389,Pembroke Refinery,United Kingdom,Planned,Reformer,2024-09-15,2024-10-28,39,No
11100,11100,368,Mailiao Refinery,Taiwan,Planned,CDU,2024-09-15,2024-10-25,180,No
11965,11965,199,Baghdad Refinery,Iraq,Planned,CDU,2024-09-15,2024-10-18,70,No
11370,11370,298,S-Oil Ulsan Refinery,South Korea,Planned,CDU,2024-09-15,2024-10-15,90,No
11912,11912,148,Gelsenkirchen Refinery,Germany,Planned,CDU,2024-09-15,2024-10-15,160,No
11913,11913,148,Gelsenkirchen Refinery,Germany,Planned,FCU,2024-09-15,2024-10-15,29.97,No
11501,11501,163,IOCL Barauni Refinery,India,Planned,CDU,2024-09-15,2024-10-14,35,No
11502,11502,163,IOCL Barauni Refinery,India,Planned,CDU,2024-09-15,2024-10-14,35,No
11503,11503,163,IOCL Barauni Refinery,India,Planned,CDU,2024-09-15,2024-10-14,50,No
11504,11504,163,IOCL Barauni Refinery,India,Planned,Coker,2024-09-15,2024-10-14,21.57,No
11505,11505,163,IOCL Barauni Refinery,India,Planned,FCU,2024-09-15,2024-10-14,29.73,No
11507,11507,163,IOCL Barauni Refinery,India,Planned,Reformer,2024-09-15,2024-10-14,13,No
11508,11508,172,HPCL Mumbai Refinery,India,Unplanned,CDU,2024-09-15,2024-10-14,80,No
12065,12065,411,Rosemount Refinery,United States,Unplanned,FCU,2024-09-14,2024-09-30,90.2,No
11950,11950,501,Paraguana Refinery,Venezuela,Unplanned,FCU,2024-09-12,2024-09-19,108,No
11951,11951,501,Paraguana Refinery,Venezuela,Unplanned,CDU,2024-09-12,2024-09-19,205,No
11952,11952,501,Paraguana Refinery,Venezuela,Unplanned,CDU,2024-09-12,2024-09-19,110,No
11918,11918,418,Baton Rouge Refinery,United States,Unplanned,CDU,2024-09-11,2024-09-13,200,No
11920,11920,418,Baton Rouge Refinery,United States,Unplanned,FCU,2024-09-11,2024-09-13,116,No
11921,11921,418,Baton Rouge Refinery,United States,Unplanned,Coker,2024-09-11,2024-09-13,59,No
11922,11922,418,Baton Rouge Refinery,United States,Unplanned,HCU,2024-09-11,2024-09-13,13,No
11923,11923,418,Baton Rouge Refinery,United States,Unplanned,Reformer,2024-09-11,2024-09-13,37,No
11927,11927,429,Garyville Refinery,United States,Unplanned,CDU,2024-09-11,2024-09-13,556,No
11928,11928,429,Garyville Refinery,United States,Unplanned,Coker,2024-09-11,2024-09-13,98.8,No
11929,11929,429,Garyville Refinery,United States,Unplanned,FCU,2024-09-11,2024-09-13,134.5,No
11930,11930,429,Garyville Refinery,United States,Unplanned,HCU,2024-09-11,2024-09-13,130,No
11931,11931,429,Garyville Refinery,United States,Unplanned,Reformer,2024-09-11,2024-09-13,120,No
11932,11932,434,Saint Charles Refinery,United States,Unplanned,CDU,2024-09-11,2024-09-13,215,No
11933,11933,434,Saint Charles Refinery,United States,Unplanned,Coker,2024-09-11,2024-09-13,87,No
11934,11934,434,Saint Charles Refinery,United States,Unplanned,FCU,2024-09-11,2024-09-13,104.5,No
11935,11935,434,Saint Charles Refinery,United States,Unplanned,HCU,2024-09-11,2024-09-13,101,No
11936,11936,434,Saint Charles Refinery,United States,Unplanned,Reformer,2024-09-11,2024-09-13,87.2,No
11942,11942,423,Chalmette Refinery,United States,Unplanned,CDU,2024-09-11,2024-09-13,192.98,No
11943,11943,423,Chalmette Refinery,United States,Unplanned,Coker,2024-09-11,2024-09-13,40.01,No
11944,11944,423,Chalmette Refinery,United States,Unplanned,FCU,2024-09-11,2024-09-13,71.99,No
11945,11945,423,Chalmette Refinery,United States,Unplanned,Reformer,2024-09-11,2024-09-13,46,No
11983,11983,225,Keihin Refinery,Japan,Unplanned,CDU,2024-09-10,2024-10-24,70.01,No
11960,11960,50,Saint John  Refinery,Canada,Planned,CDU,2024-09-10,2024-10-20,150,No
11961,11961,50,Saint John  Refinery,Canada,Planned,FCU,2024-09-10,2024-10-20,21.7,No
11937,11937,436,Norco Refinery,United States,Unplanned,CDU,2024-09-10,2024-09-16,238,No
11938,11938,436,Norco Refinery,United States,Unplanned,Coker,2024-09-10,2024-09-16,21.32,No
11939,11939,436,Norco Refinery,United States,Unplanned,FCU,2024-09-10,2024-09-16,103.1,No
11940,11940,436,Norco Refinery,United States,Unplanned,HCU,2024-09-10,2024-09-16,111.53,No
11941,11941,436,Norco Refinery,United States,Unplanned,Reformer,2024-09-10,2024-09-16,30,No
11899,11899,231,Negishi Refinery,Japan,Planned,CDU,2024-09-09,2024-11-20,136,No
11974,11974,405,Detroit Refinery,United States,Planned,CDU,2024-09-09,2024-11-10,139.01,No
11975,11975,405,Detroit Refinery,United States,Planned,Coker,2024-09-09,2024-11-10,34.7,No
11976,11976,405,Detroit Refinery,United States,Planned,FCU,2024-09-09,2024-11-10,38.5,No
11977,11977,405,Detroit Refinery,United States,Planned,Reformer,2024-09-09,2024-11-10,19.03,No
11914,11914,432,Calcasieu Lake Charles Refinery,United States,Unplanned,CDU,2024-09-09,2024-09-15,125,No
11664,11664,636,Tyumen Refinery,Russia,Planned,CDU,2024-09-07,2024-10-25,180,No
11665,11665,636,Tyumen Refinery,Russia,Planned,Coker,2024-09-07,2024-10-25,29,No
11924,11924,262,Salina Cruz Refinery,Mexico,Unplanned,CDU,2024-09-07,2024-09-21,165,No
11906,11906,125,Esmeraldas Refinery,Ecuador,Unplanned,FCU,2024-09-05,2024-11-10,20,No
